retweets,replies,favoriteC,hasthtags,urls,mentions,intertime,ffratio,favorites,listed,tavo60,tavo61,tavo62,tavo63,tavo64,tavo65,tavo66,tavo67,tavo68,tavo69,tavo70,tavo71,tavo72,tavo73,tavo74,tavo75,tavo76,tavo77,tavo78,tavo79,tavo80,tavo81,tavo82,tavo83,tavo84,tavo85,tavo86,tavo87,tavo88,tavo89,tavo90,uniqueHashtags,uniqueMentions,uniqueURL,SS,chi,class
8642.384615384615,0.0,0.0,0.23076923076923078,0.15384615384615385,0.46153846153846156,1327719.5038461538,0.8241206030150754,122.0,1.0,17.0,16.0,17.0,40.0,56.0,33.0,13.0,46.0,6.0,12.0,8.0,23.0,18.0,19.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,35.0,0.15384615384615385,0.38461538461538464,0.46153846153846156,10700.392113136,9.95923852995755,0
0.5675675675675675,0.0,0.3783783783783784,0.2702702702702703,0.8108108108108109,2.3513513513513513,273390.48918918916,0.6322314049586777,306.0,8.0,21.0,22.0,18.0,21.0,28.0,63.0,27.0,67.0,42.0,8.0,16.0,5.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,39.0,0.21621621621621623,0.7567567567567568,0.7837837837837838,1747.82671854648,13.985113365279,0
2.111111111111111,0.0,3.3333333333333335,0.0,0.0,0.4444444444444444,90394.69814814815,0.43795620437956206,10192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,428.767882073793,33.3488965855257,0
1566.75,0.0,0.39285714285714285,0.2857142857142857,0.0,0.8928571428571429,17392.785119047618,0.0436307519640853,12137.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.8214285714285714,0.10714285714285714,2871.86246061491,12.4214792175263,0
2.242424242424242,0.0,2.0,0.030303030303030304,0.0,0.6060606060606061,74934.72878787878,0.36017897091722595,12603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.5151515151515151,0.12121212121212122,1419.61949139083,8.063141465062,0
1.0,0.0,1.6666666666666667,1.0,0.0,0.0,214278.0611111111,0.3692722371967655,544.0,2.0,22.0,26.0,37.0,31.0,25.0,38.0,11.0,21.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,7.0,8.0,5.0,3.0,8.0,9.0,10.0,19.0,22.0,14.0,43.0,1.3333333333333333,0.0,0.0,1199.90430990022,8.69672091914577,0
2634.190476190476,0.0,0.38095238095238093,0.023809523809523808,0.047619047619047616,0.9523809523809523,8338.621825396825,0.21091290661070305,22587.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.7857142857142857,0.09523809523809523,2307.60744247258,15.9362014963599,0
0.0,0.0,0.06666666666666667,0.06666666666666667,0.23333333333333334,0.2,53324.808333333334,0.424,12004.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.4,536.86012080711,25.799122045256,0
94.65217391304348,0.0,0.08695652173913043,0.17391304347826086,0.17391304347826086,1.3043478260869565,649935.5579710145,0.49032258064516127,744.0,3.0,20.0,19.0,14.0,24.0,33.0,30.0,56.0,21.0,8.0,2.0,0.0,0.0,1.0,1.0,6.0,14.0,4.0,11.0,7.0,2.0,4.0,3.0,6.0,5.0,8.0,8.0,12.0,11.0,20.0,25.0,17.0,0.08695652173913043,1.2173913043478262,0.17391304347826086,3148.72500512959,17.6055924128225,0
19261.882352941175,0.0,0.058823529411764705,0.0,0.23529411764705882,0.7647058823529411,27925.617647058825,0.12898330804248861,6605.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.6470588235294118,3502.02454115078,7.12926902902977,0
185.47058823529412,0.0,0.0,0.47058823529411764,0.29411764705882354,0.47058823529411764,1121886.706862745,0.41523809523809524,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.35294117647058826,0.38235294117647056,5616.60371539792,2.22002736733096,0
30.26829268292683,0.0,0.43902439024390244,0.0,0.07317073170731707,0.5853658536585366,14067.699999999999,0.020535714285714286,10127.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4146341463414634,0.17073170731707318,4452.61334875037,2.96913296621662,0
